"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
370387001550,"Public","Fairview Heights Elementary","Richmond County",0.944,"Kindergarten","104 Hamilton Ave, Hamlet, NC 28345"
370387001553,"Public","L J Bell Elementary","Richmond County",0.985,"Kindergarten","442 Hawthorne Ave, Rockingham, NC 28379"
370387001555,"Public","Mineral Springs Elementary","Richmond County",0.984,"Kindergarten","1426 Green Lake Rd, Ellerbe, NC 28338"
370387001556,"Public","Monroe Avenue Elementary","Richmond County",1,"Kindergarten","400 Monroe Ave, Hamlet, NC 28345"
218,"Private","Roberdel Baptist School","Richmond County",0.944,"Kindergarten",NA
370387002278,"Public","Washington Street Elementary","Richmond County",0.985,"Kindergarten","566 E Washington St Ext, Rockingham, NC 28379"
370387001561,"Public","West Rockingham Elementary","Richmond County",1,"Kindergarten","271 W US 74 Hwy, Rockingham, NC 28379"
370393001569,"Public","Deep Branch Elementary","Robeson County",1,"Kindergarten","4045 Deep Branch Road, Lumberton, NC 28360"
370393002050,"Public","East Robeson Primary","Robeson County",0.871,"Kindergarten","4840 7th Street Road, Lumberton, NC 28358"
370393001571,"Public","Fairgrove Elementary School","Robeson County",0.957,"Kindergarten","1953 Fairgrove School Road, Fairmont, NC 28340"
219,"Private","Highlander Academy","Robeson County",0.727,"Kindergarten",NA
370393001573,"Public","Long Branch Elementary","Robeson County",0.949,"Kindergarten","10218 NC 72 East, Lumberton, NC 28358"
370393001574,"Public","Magnolia Elementary","Robeson County",0.859,"Kindergarten","10928 US 301 North, Lumberton, NC 28360"
370047403567,"Charter/Lab","Old Main STREAM Academy","Robeson County",0.985,"Kindergarten","200 North Odum Street, Pembroke, NC 28372"
370393001576,"Public","Oxendine Elementary","Robeson County",0.93,"Kindergarten","5599 Oxendine School Rd, Maxton, NC 28364"
370393001577,"Public","Parkton Elementary","Robeson County",0.925,"Kindergarten","400 North Green Street, Parkton, NC 28371"
370393001578,"Public","Pembroke Elementary","Robeson County",1,"Kindergarten","505 South Jones Street, Pembroke, NC 28372"
370393002238,"Public","Peterson Elementary","Robeson County",0.972,"Kindergarten","102 Phillips Ave, Red Springs, NC 28377"
370393001581,"Public","Piney Grove Elementary","Robeson County",0.986,"Kindergarten","1680 Piney Grove Road, Lumberton, NC 28358"
370393001583,"Public","Prospect Elementary","Robeson County",0.986,"Kindergarten","4024 Missouri Road, Maxton, NC 28364"
370393001585,"Public","Rex-Rennert Elementary","Robeson County",0.907,"Kindergarten","11780 Rennert Road, Shannon, NC 28386"
370393002241,"Public","Rosenwald Elementary","Robeson County",0.774,"Kindergarten","301 Martin L King Dr, Fairmont, NC 28340"
370393002242,"Public","Rowland Norment Elementary","Robeson County",0.917,"Kindergarten","701 Godwin Ave, Lumberton, NC 28358"
370393002243,"Public","Saint Pauls Elementary","Robeson County",0.962,"Kindergarten","222 Martin Luther King Drive, Saint Pauls, NC 28384"
370393003484,"Public","Southside Ashpole Elementary","Robeson County",1,"Kindergarten","607 S Martin Luther King St, Rowland, NC 28383"
370393002246,"Public","Tanglewood Elementary","Robeson County",0.938,"Kindergarten","400 West 29th Street, Lumberton, NC 28358"
370393002052,"Public","Townsend Elementary","Robeson County",0.977,"Kindergarten","105 Carolina Street, Maxton, NC 28364"
370393001589,"Public","Union Chapel Elementary","Robeson County",0.925,"Kindergarten","4271 Union Chapel Road, Pembroke, NC 28372"
370393001590,"Public","Union Elementary","Robeson County",0.98,"Kindergarten","2547 NC Hwy 710 South, Rowland, NC 28383"
370393002247,"Public","W H Knuckles","Robeson County",0.852,"Kindergarten","1520 Martin L King Dr, Lumberton, NC 28358"
370399001591,"Public","Bethany Elementary","Rockingham County",0.946,"Kindergarten","271 Bethany Rd, Reidsville, NC 27320"
370399001066,"Public","Central Elementary","Rockingham County",0.965,"Kindergarten","435 E Stadium Dr, Eden, NC 27288"
220,"Private","Community Baptist School","Rockingham County",1,"Kindergarten",NA
370399001067,"Public","Douglass Elementary","Rockingham County",0.978,"Kindergarten","408 Price St., Eden, NC 27288"
221,"Private","Freedom Academy","Rockingham County",0.68,"Kindergarten",NA
370399002680,"Public","Huntsville Elementary","Rockingham County",0.983,"Kindergarten","2020 Sardis Church Road, Madison, NC 27025"
370399002307,"Public","John W Dillard Academy","Rockingham County",1,"Kindergarten","810 Cure Dr, Madison, NC 27025"
370399001242,"Public","Leaksville-Spray Elementary","Rockingham County",0.955,"Kindergarten","415 Highland Dr, Eden, NC 27288"
370507703655,"Charter/Lab","Legacy Classical Academy","Rockingham County",1,"Kindergarten","3218 Vance Street Extension, Reidsville, NC 27320"
370399002542,"Public","Lincoln Elementary","Rockingham County",0.905,"Kindergarten","2660 Oregon Hill Road, Ruffin, NC 27326"
370399001594,"Public","Monroeton Elementary","Rockingham County",0.932,"Kindergarten","8081 US Highway 158, Reidsville, NC 27320"
370399003447,"Public","Moss Street Elementary","Rockingham County",0.933,"Kindergarten","419 Moss St, Reidsville, NC 27320"
222,"Private","Shiloh Community School LLC","Rockingham County",0.833,"Kindergarten",NA
370399001544,"Public","South End Elementary","Rockingham County",0.975,"Kindergarten","1307 South Park Drive, Reidsville, NC 27320"
370399002227,"Public","Stoneville Elementary","Rockingham County",0.931,"Kindergarten","203 Stone St, Stoneville, NC 27048"
370399001599,"Public","Wentworth Elementary","Rockingham County",0.903,"Kindergarten","8806 NC Hwy 87, Reidsville, NC 27320"
370399001545,"Public","Williamsburg Elementary","Rockingham County",0.94,"Kindergarten","2830 Hwy 87, Reidsville, NC 27320"
370405001610,"Public","Bostian Elementary","Rowan County",0.913,"Kindergarten","4245 Old Beatty Ford Rd, China Grove, NC 28023"
370405001612,"Public","China Grove Elementary","Rowan County",0.957,"Kindergarten","514 South Franklin St, China Grove, NC 28023"
370405002251,"Public","Dole Elementary","Rowan County",0.939,"Kindergarten","465 Choate Rd, Salisbury, NC 28146"
370047503568,"Charter/Lab","Faith Academy Charter School","Rowan County",1,"Kindergarten","420 North Main Street, Faith, NC 28041"
370405001619,"Public","Granite Quarry Elementary","Rowan County",0.879,"Kindergarten","118 South Walnut St, Salisbury, NC 28146"
370405001620,"Public","Hurley Elementary","Rowan County",0.919,"Kindergarten","625 Hurley School Rd, Salisbury, NC 28147"
370405002250,"Public","Isenberg Elementary","Rowan County",0.775,"Kindergarten","2800 Jake Alexander Blvd N, Salisbury, NC 28147"
370405001621,"Public","Knollwood Elementary","Rowan County",0.932,"Kindergarten","3075 Shue Rd, Salisbury, NC 28147"
370405002850,"Public","Koontz Elementary","Rowan County",0.924,"Kindergarten","685 East Ritchie Rd, Salisbury, NC 28146"
370405001622,"Public","Landis Elementary","Rowan County",0.865,"Kindergarten","801 West Ryder Ave, Landis, NC 28088"
370405002792,"Public","Millbridge Elementary","Rowan County",0.957,"Kindergarten","155 Ed Deal Rd, China Grove, NC 28023"
370405001623,"Public","Morgan Elementary","Rowan County",0.98,"Kindergarten","3860 Liberty Rd, Gold Hill, NC 28071"
370405001624,"Public","Mt Ulla Elementary","Rowan County",0.902,"Kindergarten","13155 NC 801 Hwy, Mount Ulla, NC 28125"
223,"Private","North Hills Christian School","Rowan County",0.902,"Kindergarten",NA
370405001627,"Public","North Rowan Elementary","Rowan County",0.923,"Kindergarten","600 Charles St, Spencer, NC 28159"
370405002249,"Public","Overton Elementary","Rowan County",0.921,"Kindergarten","1825 Park Rd W, Salisbury, NC 28144"
224,"Private","Rockwell Christian School","Rowan County",0.952,"Kindergarten",NA
370405001628,"Public","Rockwell Elementary","Rowan County",0.947,"Kindergarten","114 Link St, Rockwell, NC 28138"
225,"Private","Sacred Heart Catholic School","Rowan County",1,"Kindergarten",NA
226,"Private","Salisbury Academy","Rowan County",0.952,"Kindergarten",NA
370405002835,"Public","Shive Elementary","Rowan County",0.648,"Kindergarten","655 Holshouser Rd, Rockwell, NC 28138"
370405003464,"Public","West Rowan Elementary","Rowan County",0.946,"Kindergarten","480 Mimosa St, Cleveland, NC 27013"
370408001637,"Public","Cliffside Elementary School","Rutherford County",0.962,"Kindergarten","4016 US Hwy 221-A, Cliffside, NC 28024"
370408001641,"Public","Ellenboro Elementary School","Rutherford County",0.896,"Kindergarten","813 Piney Mountain Church Rd, Ellenboro, NC 28040"
370408001639,"Public","Forest City-Dunbar Elementary School","Rutherford County",0.987,"Kindergarten","286 Learning Parkway, Forest City, NC 28043"
370408000909,"Public","Forrest W. Hunt Elementary School","Rutherford County",0.971,"Kindergarten","100 Forrest Hunt Drive, Forest City, NC 28043"
370408001645,"Public","Harris Elementary School","Rutherford County",0.935,"Kindergarten","3330 US 221 S Hwy, Forest City, NC 28043"
370031803187,"Charter/Lab","Lake Lure Classical Academy","Rutherford County",0.786,"Kindergarten","1058 Island Creek Rd., Lake Lure, NC 28746"
370408001646,"Public","Mt. Vernon-Ruth Elementary School","Rutherford County",0.977,"Kindergarten","2785 Hudlow Road, Forest City, NC 28043"
370408002479,"Public","Pinnacle Elementary School","Rutherford County",0.914,"Kindergarten","1204 Painters Gap Road, Rutherfordton, NC 28139"
370408001650,"Public","Rutherfordton Elementary School","Rutherford County",1,"Kindergarten","201 Bob Hardin Road, Rutherfordton, NC 28139"
370408001653,"Public","Spindale Elementary School","Rutherford County",0.922,"Kindergarten","161 N Oak St, Spindale, NC 28160"
370408001654,"Public","Sunshine Elementary School","Rutherford County",0.947,"Kindergarten","231 Toney Road, Bostic, NC 28018"
227,"Private","The Master's Academy","Rutherford County",0.5,"Kindergarten",NA
370009302480,"Charter/Lab","Thomas Jefferson Classical Academy","Rutherford County",0.946,"Kindergarten","2527 US 221A Hwy, Mooresboro, NC 28114"
370414001667,"Public","Clement Elementary","Sampson County",0.946,"Kindergarten","3220 Maxwell Rd, Autryville, NC 28318"
370414001671,"Public","Hargrove Elementary","Sampson County",0.96,"Kindergarten","7725 Faison Hwy, Faison, NC 28341"
228,"Private","Harrells Christian Academy","Sampson County",0.947,"Kindergarten",NA
370414001673,"Public","Hobbton Elementary","Sampson County",1,"Kindergarten","12361 Hobbton Hwy, Newton Grove, NC 28366"
370093000355,"Public","Langdon C Kerr Elementary","Sampson County",0.973,"Kindergarten","112 Kimbrough Rd, Clinton, NC 28328"
370414001675,"Public","Midway Elementary","Sampson County",0.957,"Kindergarten","15375 Spiveys Corner Highway, Dunn, NC 28334"
229,"Private","Mintz Christian Academy","Sampson County",0.933,"Kindergarten",NA
370414001678,"Public","Plain View Elementary","Sampson County",0.963,"Kindergarten","4140 Plain View Hwy, Dunn, NC 28334"
370414001665,"Public","Roseboro Elementary","Sampson County",0.955,"Kindergarten","180 Butler Island Road, Roseboro, NC 28382"
370414001680,"Public","Salemburg Elementary","Sampson County",0.943,"Kindergarten","404 E. College Street, Salemburg, NC 28385"
370414001682,"Public","Union Elementary","Sampson County",0.903,"Kindergarten","10400 Taylors Bridge Hwy, Clinton, NC 28328"
230,"Private","Christ the Cornerstone Academy","Scotland County",0.952,"Kindergarten",NA
370420001689,"Public","Laurel Hill Elementary","Scotland County",0.962,"Kindergarten","11340 Old Wire Road, Laurel Hill, NC 28351"
231,"Private","Scotland Christian Academy","Scotland County",1,"Kindergarten",NA
370420003525,"Public","South Johnson Elementary","Scotland County",0.969,"Kindergarten","13100 Old Johns Rd, Laurinburg, NC 28352"
370420003569,"Public","Sycamore Lane Primary","Scotland County",0.823,"Kindergarten","2098 Elm Ave, Laurinburg, NC 28352"
370420001695,"Public","Wagram Elementary","Scotland County",0.987,"Kindergarten","24081 Main Street, Wagram, NC 28396"
370432001707,"Public","Aquadale Elementary","Stanly County",0.918,"Kindergarten","11707 NC Hwy 138, Norwood, NC 28128"
370432001708,"Public","Badin Elementary","Stanly County",0.966,"Kindergarten","47 Henderson St, Badin, NC 28009"
232,"Private","Carolina Christian School","Stanly County",0.906,"Kindergarten",NA
370432000024,"Public","Central Elementary","Stanly County",0.947,"Kindergarten","206 N 3rd Street, Albemarle, NC 28001"
370432000025,"Public","East Albemarle Elementary","Stanly County",0.981,"Kindergarten","1813 E Main Street, Albemarle, NC 28001"
370432001709,"Public","Endy Elementary","Stanly County",0.933,"Kindergarten","27670 Betty Rd, Albemarle, NC 28001"
233,"Private","Heritage Classical Academy","Stanly County",0.864,"Kindergarten",NA
370432001710,"Public","Locust Elementary","Stanly County",0.903,"Kindergarten","103 School Rd, Locust, NC 28097"
370432001711,"Public","Millingport Elementary","Stanly County",1,"Kindergarten","24198 NC Hwy 73 W, Albemarle, NC 28001"
370432001714,"Public","Norwood Elementary","Stanly County",1,"Kindergarten","400 South Main St, Norwood, NC 28128"
370432003440,"Public","Oakboro Choice STEM","Stanly County",0.958,"Kindergarten","1244 N Main St, Oakboro, NC 28129"
234,"Private","Park Ridge Christian School","Stanly County",0.9,"Kindergarten",NA
370432001716,"Public","Richfield Elementary","Stanly County",0.934,"Kindergarten","120 Morgan Street, Richfield, NC 28137"
370432001719,"Public","Stanfield Elementary","Stanly County",0.973,"Kindergarten","101 W. Montgomery St, Stanfield, NC 28163"
235,"Private","Calvary Christian School","Stokes County",0.962,"Kindergarten",NA
370438001732,"Public","Germanton Elementary School","Stokes County",0.955,"Kindergarten","6085 NC 8 Hwy South, Germanton, NC 27019"
370438001733,"Public","King Elementary School","Stokes County",0.94,"Kindergarten","152 East School St, King, NC 27021"
370438001735,"Public","Lawsonville Elementary School","Stokes County",1,"Kindergarten","4611 NC 8 Hwy North, Lawsonville, NC 27022"
370438001743,"Public","London Elementary School","Stokes County",0.889,"Kindergarten","609 School Street, Walnut Cove, NC 27052"
370438001734,"Public","Mount Olive Elementary School","Stokes County",0.979,"Kindergarten","2145 Chestnut Grove Road, King, NC 27021"
370438001736,"Public","Nancy Reynolds Elementary School","Stokes County",0.958,"Kindergarten","1585 NC 66 Hwy North, Westfield, NC 27053"
370438001738,"Public","Pine Hall Elementary School","Stokes County",1,"Kindergarten","1400 Pine Hall Road, Pine Hall, NC 27042"
370438001739,"Public","Pinnacle Elementary School","Stokes County",0.909,"Kindergarten","1095 Surry Line Rd, Pinnacle, NC 27043"
370438003252,"Public","Poplar Springs Elementary School","Stokes County",0.969,"Kindergarten","223 Hobe Kiser Road, King, NC 27021"
370438001740,"Public","Sandy Ridge  Elementary School","Stokes County",0.967,"Kindergarten","1070 Amostown Road, Sandy Ridge, NC 27046"
370438001744,"Public","Walnut Cove Elementary School","Stokes County",0.978,"Kindergarten","1211 Walnut Cove School Rd, Walnut Cove, NC 27052"
370321001337,"Public","Bruce H. Tharrington Primary","Surry County",0.992,"Kindergarten","315 Culbert Street, Mount Airy, NC 27030"
370441001663,"Public","Cedar Ridge Elementary","Surry County",0.955,"Kindergarten","734 Flippin Road, Lowgap, NC 27024"
370441001746,"Public","Copeland Elementary","Surry County",0.976,"Kindergarten","948 Copeland School Road, Dobson, NC 27017"
370441001747,"Public","Dobson Elementary","Surry County",1,"Kindergarten","400 W Atkins Street, Dobson, NC 27017"
370138000563,"Public","Elkin Elementary","Surry County",0.937,"Kindergarten","135 Old Virginia Rd, Elkin, NC 28621"
370441001749,"Public","Flat Rock Elementary","Surry County",0.8,"Kindergarten","1539 E Pine St, Mount Airy, NC 27030"
370441001750,"Public","Franklin Elementary","Surry County",0.983,"Kindergarten","519 S Franklin Road, Mount Airy, NC 27030"
370011102548,"Charter/Lab","Millennium Charter Academy","Surry County",0.885,"Kindergarten","500 Old Springs Rd, Mount Airy, NC 27030"
370441001753,"Public","Mountain Park Elementary","Surry County",0.966,"Kindergarten","505 Mountain Park Rd, State Road, NC 28676"
370441003216,"Public","Pilot Mountain Elementary","Surry County",0.941,"Kindergarten","218 Friends St., Pilot Mountain, NC 27041"
370441003221,"Public","Rockford Elementary","Surry County",0.963,"Kindergarten","719 Rockford Rd, Dobson, NC 27017"
370441001756,"Public","Shoals Elementary","Surry County",0.951,"Kindergarten","1800 Shoals Road, Pinnacle, NC 27043"
370441001758,"Public","Westfield Elementary","Surry County",1,"Kindergarten","273 Jessup Grove Church Rd, Pilot Mountain, NC 27041"
370441001759,"Public","White Plains Elementary","Surry County",1,"Kindergarten","710 Cadle Ford Rd, Mount Airy, NC 27030"
370012902614,"Charter/Lab","Mountain Discovery","Swain County",0.955,"Kindergarten","890 Jenkins Branch Rd N, Bryson City, NC 28713"
370444002315,"Public","Swain County East Elementary","Swain County",0.957,"Kindergarten","4747 Ela Rd, Bryson City, NC 28713"
370444002316,"Public","Swain County West Elementary","Swain County",0.9,"Kindergarten","4142 Hwy 19 West, Bryson City, NC 28713"
236,"Private","Bethany Christian School","Transylvania County",0.667,"Kindergarten",NA
370006802412,"Charter/Lab","Brevard Academy","Transylvania County",1,"Kindergarten","1110 Hendersonville Highway, Pisgah Forest, NC 28768"
370453001777,"Public","Brevard Elementary","Transylvania County",0.927,"Kindergarten","399 Greenville Hwy, Brevard, NC 28712"
237,"Private","Mountain Sun Community School","Transylvania County",0.75,"Kindergarten",NA
370453000796,"Public","Pisgah Forest Elementary","Transylvania County",0.925,"Kindergarten","1076 Ecusta Rd, Brevard, NC 28712"
370453001782,"Public","Rosman Elementary","Transylvania County",0.894,"Kindergarten","167 Rosman School Rd, Rosman, NC 28772"
370453001785,"Public","T C Henderson","Transylvania County",0.857,"Kindergarten","11839 Rosman Hwy, Lake Toxaway, NC 28747"
370459001789,"Public","Tyrrell Elementary","Tyrrell County",0.957,"Kindergarten","486 Elementary School Road, Columbia, NC 27925"
370462002740,"Public","Antioch Elementary","Union County",0.97,"Kindergarten","3101 Antioch Church Road, Matthews, NC 28104"
238,"Private","Arborbrook Christian Academy","Union County",0.652,"Kindergarten",NA
370462001299,"Public","Benton Heights Elementary","Union County",0.942,"Kindergarten","1200 Concord Ave, Monroe, NC 28110"
370462001300,"Public","East Elementary","Union County",0.791,"Kindergarten","515 Elizabeth Ave, Monroe, NC 28112"
370462001791,"Public","Fairview Elementary","Union County",0.978,"Kindergarten","110 Clontz Road, Monroe, NC 28110"
239,"Private","First Assembly Christian School","Union County",0.938,"Kindergarten",NA
370462001793,"Public","Hemby Bridge Elementary","Union County",0.952,"Kindergarten","6701 Indian Trl-Fairview Rd, Indian Trail, NC 28079"
370462001794,"Public","Indian Trail Elementary","Union County",0.883,"Kindergarten","200 Education Rd, Indian Trail, NC 28079"
370462002798,"Public","Kensington Elementary","Union County",0.877,"Kindergarten","8701 Kensington Drive, Waxhaw, NC 28173"
370462001795,"Public","Marshville Elementary","Union County",0.934,"Kindergarten","515 North Elm Street, Marshville, NC 28103"
370462002651,"Public","Marvin Elementary","Union County",0.938,"Kindergarten","9700 Marvin School Rd, Marvin, NC 28173"
240,"Private","Metrolina Christian Academy","Union County",0.813,"Kindergarten",NA
370042603456,"Charter/Lab","Monroe Charter Academy","Union County",0.806,"Kindergarten","2850 Old Charlotte Hwy, Monroe, NC 28110"
370462001796,"Public","New Salem Elementary","Union County",0.975,"Kindergarten","6106 Hwy 205, Marshville, NC 28103"
370462002821,"Public","New Town Elementary","Union County",0.926,"Kindergarten","1100 Waxhaw-Indian Tr. Rd., Waxhaw, NC 28173"
241,"Private","NorthPoint Christian Academy","Union County",0.647,"Kindergarten",NA
370462003096,"Public","Poplin Elementary","Union County",0.925,"Kindergarten","5627 Poplin Rd, Indian Trail, NC 28079"
370462002741,"Public","Porter Ridge Elementary","Union County",0.786,"Kindergarten","2843 Ridge Road, Indian Trail, NC 28079"
370462001801,"Public","Prospect Elementary","Union County",0.937,"Kindergarten","3005 Ruben Rd, Monroe, NC 28112"
370462002814,"Public","Rea View Elementary","Union County",0.949,"Kindergarten","320 Reid Dairy Road, Waxhaw, NC 28173"
370462002862,"Public","Rock Rest Elementary","Union County",0.929,"Kindergarten","814 Old Pageland-Monroe Rd, Monroe, NC 28112"
370462002828,"Public","Rocky River Elementary","Union County",0.667,"Kindergarten","500 N. Rocky River Road, Monroe, NC 28110"
370462002801,"Public","Sandy Ridge Elementary","Union County",0.986,"Kindergarten","10101 Waxhaw Manor Drive, Waxhaw, NC 28173"
370462002352,"Public","Sardis Elementary","Union County",0.894,"Kindergarten","4416 Sardis Church Road, Monroe, NC 28110"
370462003043,"Public","Shiloh Valley Primary School","Union County",0.888,"Kindergarten","5200 Rogers Rd, Monroe, NC 28110"
370462003022,"Public","Stallings Elementary","Union County",0.912,"Kindergarten","3501 Stallings Rd, Stallings, NC 28104"
242,"Private","Tabernacle Christian School","Union County",1,"Kindergarten",NA
243,"Private","Thales Academy","Union County",0.915,"Kindergarten",NA
370011202551,"Charter/Lab","Union Academy","Union County",0.937,"Kindergarten","675 North ML King Jr Blvd, Monroe, NC 28110"
370040303399,"Charter/Lab","Union Day School","Union County",0.944,"Kindergarten","3000 TILLEY MORRIS ROAD, WEDDINGTON, NC 28104"
370462001805,"Public","Union Elementary","Union County",0.941,"Kindergarten","5320 White Store Rd, Wingate, NC 28174"
370040103400,"Charter/Lab","Union Prep Academy at Indian Trail","Union County",0.966,"Kindergarten","2324 Younts Rd, Indian Trail, NC 28079"
370462001807,"Public","Unionville Elementary","Union County",0.933,"Kindergarten","4511 Unionville Rd, Monroe, NC 28110"
370462001303,"Public","Walter Bickett Elementary","Union County",0.882,"Kindergarten","830 South ML King Blvd, Monroe, NC 28112"
370462001808,"Public","Waxhaw Elementary","Union County",0.96,"Kindergarten","1101 Old Providence Rd, Waxhaw, NC 28173"
244,"Private","Weddington Christian Academy","Union County",0.867,"Kindergarten",NA
370462002353,"Public","Weddington Elementary","Union County",0.967,"Kindergarten","3927 Twelve Mile Creek Road, Matthews, NC 28104"
370462001809,"Public","Wesley Chapel Elementary","Union County",0.919,"Kindergarten","110 Potter Rd S, Monroe, NC 28110"
370462001810,"Public","Western Union Elementary","Union County",0.846,"Kindergarten","4111 Western Union Sch Rd, Waxhaw, NC 28173"
370462001811,"Public","Wingate Elementary","Union County",0.981,"Kindergarten","301 Bivens Street, Wingate, NC 28174"
370465001812,"Public","Aycock Elementary","Vance County",0.963,"Kindergarten","305 Carey Chapel Rd, Henderson, NC 27537"
370465001813,"Public","Carver Elementary","Vance County",1,"Kindergarten","987 Carver Sch Rd, Henderson, NC 27537"
370465003169,"Public","Clarke Elementary","Vance County",0.94,"Kindergarten","309 Mount Carmel Church Road, Henderson, NC 27537"
245,"Private","Crossroads Christian School","Vance County",0.897,"Kindergarten",NA
370465001815,"Public","Dabney Elementary","Vance County",0.92,"Kindergarten","150 Lanning Road, Henderson, NC 27537"
370465001822,"Public","E M Rollins Elementary","Vance County",0.981,"Kindergarten","1600 S Garnett St, Henderson, NC 27536"
370465002071,"Public","E O Young Jr Elementary","Vance County",0.968,"Kindergarten","6655 Broad Street, Henderson, NC 27537"
370031903193,"Charter/Lab","Henderson Collegiate","Vance County",0.75,"Kindergarten","1071 Old Epsom Rd, Henderson, NC 27536"
246,"Private","Kerr-Vance Academy","Vance County",1,"Kindergarten",NA
370465001824,"Public","L B Yancey Elementary","Vance County",0.867,"Kindergarten","311 Hawkins Drive, Henderson, NC 27536"
370465001819,"Public","New Hope Elementary","Vance County",0.958,"Kindergarten","10199 NC 39 Hwy N, Henderson, NC 27537"
370465001821,"Public","Pinkston Street Elementary","Vance County",1,"Kindergarten","855 Adams St, Henderson, NC 27536"
370009602486,"Charter/Lab","Vance Charter School","Vance County",0.968,"Kindergarten","2090 ROSS MILL ROAD, Henderson, NC 27537"
370465001825,"Public","Zeb Vance Elementary","Vance County",0.909,"Kindergarten","4800 Raleigh Road, Kittrell, NC 27544"
370472003241,"Public","Abbotts Creek Elementary","Wake County",0.953,"Kindergarten","9900 Durant Road, Raleigh, NC 27614"
370472001826,"Public","Adams Elementary","Wake County",0.639,"Kindergarten","805 Cary Towne Blvd, Cary, NC 27511"
247,"Private","Al-Iman School","Wake County",1,"Kindergarten",NA
370472003214,"Public","Alston Ridge Elementary","Wake County",0.982,"Kindergarten","11555 Green Level Church Rd., Cary, NC 27519"
370472001827,"Public","Apex Elementary","Wake County",0.958,"Kindergarten","700 Tingen Road, Apex, NC 27502"
370472003624,"Public","Apex Friendship Elementary","Wake County",1,"Kindergarten","7901 Humie Olive Road, Apex, NC 27502"
370472001831,"Public","Aversboro Elementary","Wake County",0.87,"Kindergarten","1605 Aversboro Rd, Garner, NC 27529"
370472002006,"Public","Baileywick Road Elementary","Wake County",0.913,"Kindergarten","9425 Baileywick Road, Raleigh, NC 27615"
370472002652,"Public","Ballentine Elementary","Wake County",0.96,"Kindergarten","1651 North McLaurin Lane, Fuquay Varina, NC 27526"
370472003132,"Public","Banks Road Elementary","Wake County",0.9,"Kindergarten","10225 Chambers Rd, Raleigh, NC 27603"
370472003625,"Public","Barton Pond Elementary","Wake County",1,"Kindergarten","12004 Strickland Road, Raleigh, NC 27613"
370472002854,"Public","Barwell Road Elementary","Wake County",0.958,"Kindergarten","3925 Barwell Road, Raleigh, NC 27610"
370472001834,"Public","Baucom Elementary","Wake County",0.965,"Kindergarten","400 Hunter St, Apex, NC 27502"
370472002221,"Public","Brassfield Elementary","Wake County",0.959,"Kindergarten","2001 Brassfield Rd, Raleigh, NC 27614"
370472001836,"Public","Brentwood Elementary","Wake County",0.941,"Kindergarten","3426 Ingram Dr, Raleigh, NC 27604"
370472002887,"Public","Brier Creek Elementary","Wake County",0.975,"Kindergarten","9801 Brier Creek Parkway, Raleigh, NC 27617"
370472001838,"Public","Brooks Elementary","Wake County",0.944,"Kindergarten","700 Northbrook Drive, Raleigh, NC 27609"
370472003471,"Public","Bryan Road Elementary","Wake County",0.926,"Kindergarten","8317 Bryan Rd, Garner, NC 27529"
370472003473,"Public","Buckhorn Creek Elementary","Wake County",0.976,"Kindergarten","5651 Honeycutt Rd, Holly Springs, NC 27540"
370046503523,"Charter/Lab","Cardinal Charter Acad at Wendell Falls","Wake County",0.955,"Kindergarten","6041 Taylor Rd., Wendell, NC 27591"
370035803325,"Charter/Lab","Cardinal Charter Academy","Wake County",0.412,"Kindergarten","1020 St. Charles Place, Cary, NC 27513"
370042303461,"Charter/Lab","Carolina Charter Academy","Wake County",0.858,"Kindergarten","8529 NC Highway 55, Angier, NC 27501"
370472002864,"Public","Carpenter Elementary","Wake County",0.953,"Kindergarten","2100 Morrisville Parkway, Cary, NC 27519"
370472002187,"Public","Carver Elementary","Wake County",0.937,"Kindergarten","291 Liles-Dean Rd, Wendell, NC 27591"
248,"Private","Cary Christian School","Wake County",0.81,"Kindergarten",NA
370472001843,"Public","Cary Elementary","Wake County",0.883,"Kindergarten","400 Kildaire Farm Road, Cary, NC 27511"
370013102681,"Charter/Lab","Casa Esperanza Montessori Charter School","Wake County",0.849,"Kindergarten","10510 Star Road, Wake Forest, NC 27587"
249,"Private","Cathedral School","Wake County",0.958,"Kindergarten",NA
370472002802,"Public","Cedar Fork Elementary","Wake County",0.984,"Kindergarten","1050 Town Hall Drive, Morrisville, NC 27560"
370472001846,"Public","Combs Elementary","Wake County",0.97,"Kindergarten","2001 Lorimer Rd, Raleigh, NC 27606"
370472001847,"Public","Conn Elementary","Wake County",0.953,"Kindergarten","1220 Brookside Drive, Raleigh, NC 27604"
370472000027,"Public","Creech Road Elementary","Wake County",0.979,"Kindergarten","450 Creech Rd, Garner, NC 27529"
370472001669,"Public","Davis Drive Elementary","Wake County",0.948,"Kindergarten","2151 Davis Drive, Cary, NC 27519"
370472002487,"Public","Dillard Drive Elementary","Wake County",0.869,"Kindergarten","5018 Dillard Drive, Raleigh, NC 27606"
370046403535,"Charter/Lab","Doral Academy of North Carolina","Wake County",0.526,"Kindergarten","7001 Destiny Drive, Raleigh, NC 27604"
370472001851,"Public","Douglas Elementary","Wake County",0.857,"Kindergarten","600 Ortega Rd, Raleigh, NC 27609"
370472000075,"Public","Durant Road Elementary","Wake County",1,"Kindergarten","9901 Durant Rd, Raleigh, NC 27614"
